"","X","year","region","state_po","state_fips","state_cen","state_ic","office","candidate","party","writein","candidatevotes","totalvotes","version","state_percent"
"1",1,1976,"alabama","AL",1,63,41,"US President","Carter, Jimmy","democrat",FALSE,659170,1182850,20171015,0.557272688844739
"2",2,1976,"alabama","AL",1,63,41,"US President","Ford, Gerald","republican",FALSE,504070,1182850,20171015,0.426148708627468
"3",3,1976,"alabama","AL",1,63,41,"US President","Maddox, Lester","american independent party",FALSE,9198,1182850,20171015,0.00777613391385214
"4",4,1976,"alabama","AL",1,63,41,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,6669,1182850,20171015,0.00563807752462273
"5",5,1976,"alabama","AL",1,63,41,"US President","Hall, Gus","communist party use",FALSE,1954,1182850,20171015,0.001651942342647
"6",6,1976,"alabama","AL",1,63,41,"US President","Macbride, Roger","libertarian",FALSE,1481,1182850,20171015,0.00125206070084964
"7",7,1976,"alabama","AL",1,63,41,"US President","","",TRUE,308,1182850,20171015,0.000260388045821533
"8",8,1976,"alaska","AK",2,94,81,"US President","Ford, Gerald","republican",FALSE,71555,123574,20171015,0.579045753961189
"9",9,1976,"alaska","AK",2,94,81,"US President","Carter, Jimmy","democrat",FALSE,44058,123574,20171015,0.356531309175069
"10",10,1976,"alaska","AK",2,94,81,"US President","Macbride, Roger","libertarian",FALSE,6785,123574,20171015,0.0549063718905271
"11",11,1976,"alaska","AK",2,94,81,"US President","","",TRUE,1176,123574,20171015,0.00951656497321443
"12",12,1976,"arizona","AZ",4,86,61,"US President","Ford, Gerald","republican",FALSE,418642,742719,20171015,0.563661357794805
"13",13,1976,"arizona","AZ",4,86,61,"US President","Carter, Jimmy","democrat",FALSE,295602,742719,20171015,0.397999781882515
"14",14,1976,"arizona","AZ",4,86,61,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,19229,742719,20171015,0.0258900068531975
"15",15,1976,"arizona","AZ",4,86,61,"US President","Macbride, Roger","libertarian",FALSE,7647,742719,20171015,0.0102959531128192
"16",16,1976,"arizona","AZ",4,86,61,"US President","Camejo, Peter","socialist workers",FALSE,928,742719,20171015,0.00124946312131506
"17",17,1976,"arizona","AZ",4,86,61,"US President","Anderson, Thomas J.","american",FALSE,564,742719,20171015,0.000759371983213032
"18",18,1976,"arizona","AZ",4,86,61,"US President","Maddox, Lester","american independent party",FALSE,85,742719,20171015,0.000114444359172177
"19",19,1976,"arizona","AZ",4,86,61,"US President","","",TRUE,22,742719,20171015,2.96208929622105e-05
"20",20,1976,"arkansas","AR",5,71,42,"US President","Carter, Jimmy","democrat",FALSE,498604,767535,20171015,0.649617281296618
"21",21,1976,"arkansas","AR",5,71,42,"US President","Ford, Gerald","republican",FALSE,267903,767535,20171015,0.349043366100569
"22",22,1976,"arkansas","AR",5,71,42,"US President","","independent",FALSE,639,767535,20171015,0.000832535324122027
"23",23,1976,"arkansas","AR",5,71,42,"US President","Maddox, Lester","american independent party",FALSE,389,767535,20171015,0.000506817278690874
"24",24,1976,"california","CA",6,93,71,"US President","Ford, Gerald","republican",FALSE,3882244,7803770,20171015,0.497483139559469
"25",25,1976,"california","CA",6,93,71,"US President","Carter, Jimmy","democrat",FALSE,3742284,7803770,20171015,0.479548218361125
"26",26,1976,"california","CA",6,93,71,"US President","Macbride, Roger","independent",FALSE,56388,7803770,20171015,0.0072257383290384
"27",27,1976,"california","CA",6,93,71,"US President","Maddox, Lester","american independent party",FALSE,51098,7803770,20171015,0.00654786084161886
"28",28,1976,"california","CA",6,93,71,"US President","Wright, Margaret","peace & freedom",FALSE,41731,7803770,20171015,0.00534754355907465
"29",29,1976,"california","CA",6,93,71,"US President","Camejo, Peter","independent",FALSE,17259,7803770,20171015,0.00221162335640338
"30",30,1976,"california","CA",6,93,71,"US President","Hall, Gus","independent",FALSE,12766,7803770,20171015,0.00163587599326992
"31",31,1976,"colorado","CO",8,84,62,"US President","Ford, Gerald","republican",FALSE,584278,1081440,20171015,0.540277777777778
"32",32,1976,"colorado","CO",8,84,62,"US President","Carter, Jimmy","democrat",FALSE,460801,1081440,20171015,0.426099459979287
"33",33,1976,"colorado","CO",8,84,62,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,26047,1081440,20171015,0.0240854786210978
"34",34,1976,"colorado","CO",8,84,62,"US President","Macbride, Roger","libertarian",FALSE,5338,1081440,20171015,0.0049360112442669
"35",35,1976,"colorado","CO",8,84,62,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,2886,1081440,20171015,0.00266866400355082
"36",36,1976,"colorado","CO",8,84,62,"US President","Camejo, Peter","socialist workers",FALSE,1122,1081440,20171015,0.00103750554815801
"37",37,1976,"colorado","CO",8,84,62,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,565,1081440,20171015,0.000522451546086699
"38",38,1976,"colorado","CO",8,84,62,"US President","Hall, Gus","communist party use",FALSE,403,1081440,20171015,0.000372651279775115
"39",39,1976,"connecticut","CT",9,16,1,"US President","Ford, Gerald","republican",FALSE,719261,1386355,20171015,0.518814445073592
"40",40,1976,"connecticut","CT",9,16,1,"US President","Carter, Jimmy","democrat",FALSE,647895,1386355,20171015,0.467337009640388
"41",41,1976,"connecticut","CT",9,16,1,"US President","Scattering","",FALSE,10309,1386355,20171015,0.00743604632291152
"42",42,1976,"connecticut","CT",9,16,1,"US President","Maddox, Lester","american independent party",FALSE,7101,1386355,20171015,0.00512206469482925
"43",43,1976,"connecticut","CT",9,16,1,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,1789,1386355,20171015,0.00129043426827905
"44",44,1976,"delaware","DE",10,51,11,"US President","Carter, Jimmy","democrat",FALSE,122461,235642,20171015,0.519690887023536
"45",45,1976,"delaware","DE",10,51,11,"US President","Ford, Gerald","republican",FALSE,109780,235642,20171015,0.465876202035291
"46",46,1976,"delaware","DE",10,51,11,"US President","","no party affiliation",FALSE,2432,235642,20171015,0.0103207407847497
"47",47,1976,"delaware","DE",10,51,11,"US President","Anderson, Thomas J.","american",FALSE,645,235642,20171015,0.00273720304529753
"48",48,1976,"delaware","DE",10,51,11,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,135,235642,20171015,0.00057290296296925
"49",49,1976,"delaware","DE",10,51,11,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,103,235642,20171015,0.00043710374211728
"50",50,1976,"delaware","DE",10,51,11,"US President","","socialist labor",FALSE,86,235642,20171015,0.00036496040603967
"51",51,1976,"district of columbia","DC",11,53,55,"US President","Carter, Jimmy","democrat",FALSE,137818,168830,20171015,0.816312266777232
"52",52,1976,"district of columbia","DC",11,53,55,"US President","Ford, Gerald","republican",FALSE,27873,168830,20171015,0.165095066042765
"53",53,1976,"district of columbia","DC",11,53,55,"US President","Other","",FALSE,1656,168830,20171015,0.00980868329088432
"54",54,1976,"district of columbia","DC",11,53,55,"US President","","independent",FALSE,1195,168830,20171015,0.00707812592548718
"55",55,1976,"district of columbia","DC",11,53,55,"US President","","",TRUE,288,168830,20171015,0.00170585796363206
"56",56,1976,"florida","FL",12,59,43,"US President","Carter, Jimmy","democrat",FALSE,1636000,3150631,20171015,0.519261062307836
"57",57,1976,"florida","FL",12,59,43,"US President","Ford, Gerald","republican",FALSE,1469531,3150631,20171015,0.46642434483759
"58",58,1976,"florida","FL",12,59,43,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,23643,3150631,20171015,0.00750421106121282
"59",59,1976,"florida","FL",12,59,43,"US President","Anderson, Thomas J.","american",FALSE,21325,3150631,20171015,0.00676848542403093
"60",60,1976,"florida","FL",12,59,43,"US President","","",TRUE,132,3150631,20171015,4.18963693304611e-05
"61",61,1976,"georgia","GA",13,58,44,"US President","Carter, Jimmy","democrat",FALSE,979409,1463152,20171015,0.669382948593174
"62",62,1976,"georgia","GA",13,58,44,"US President","Ford, Gerald","republican",FALSE,483743,1463152,20171015,0.330617051406826
"63",63,1976,"hawaii","HI",15,95,82,"US President","Carter, Jimmy","democrat",FALSE,147375,291301,20171015,0.505919993408879
"64",64,1976,"hawaii","HI",15,95,82,"US President","Ford, Gerald","republican",FALSE,140003,291301,20171015,0.480612836893797
"65",65,1976,"hawaii","HI",15,95,82,"US President","Macbride, Roger","libertarian",FALSE,3923,291301,20171015,0.0134671696973234
"66",66,1976,"idaho","ID",16,82,63,"US President","Ford, Gerald","republican",FALSE,204151,340932,20171015,0.59880269379231
"67",67,1976,"idaho","ID",16,82,63,"US President","Carter, Jimmy","democrat",FALSE,126549,340932,20171015,0.371185456337334
"68",68,1976,"idaho","ID",16,82,63,"US President","Maddox, Lester","american",FALSE,5935,340932,20171015,0.0174081635047458
"69",69,1976,"idaho","ID",16,82,63,"US President","Macbride, Roger","libertarian",FALSE,3558,340932,20171015,0.0104360986941678
"70",70,1976,"idaho","ID",16,82,63,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,739,340932,20171015,0.00216758767144181
"71",71,1976,"illinois","IL",17,33,21,"US President","Ford, Gerald","republican",FALSE,2364269,4721282,20171015,0.50076843535294
"72",72,1976,"illinois","IL",17,33,21,"US President","Carter, Jimmy","democrat",FALSE,2271295,4721282,20171015,0.481075902689142
"73",73,1976,"illinois","IL",17,33,21,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,55939,4721282,20171015,0.0118482649415985
"74",74,1976,"illinois","IL",17,33,21,"US President","Hall, Gus","communist party use",FALSE,9250,4721282,20171015,0.00195921362036837
"75",75,1976,"illinois","IL",17,33,21,"US President","Macbride, Roger","libertarian",FALSE,8057,4721282,20171015,0.00170652801506032
"76",76,1976,"illinois","IL",17,33,21,"US President","","",TRUE,4417,4721282,20171015,0.000935550979585629
"77",77,1976,"illinois","IL",17,33,21,"US President","Camejo, Peter","socialist workers",FALSE,3615,4721282,20171015,0.000765681863527745
"78",78,1976,"illinois","IL",17,33,21,"US President","Julius """"Jules"""", Levin","socialist labor",FALSE,2422,4721282,20171015,0.000512996258219695
"79",79,1976,"illinois","IL",17,33,21,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,2018,4721282,20171015,0.00042742627955712
"80",80,1976,"indiana","IN",18,32,22,"US President","Ford, Gerald","republican",FALSE,1183958,2220362,20171015,0.533227464710709
"81",81,1976,"indiana","IN",18,32,22,"US President","Carter, Jimmy","democrat",FALSE,1014714,2220362,20171015,0.457003857929473
"82",82,1976,"indiana","IN",18,32,22,"US President","Anderson, Thomas J.","american",FALSE,14048,2220362,20171015,0.00632689624484656
"83",83,1976,"indiana","IN",18,32,22,"US President","Camejo, Peter","socialist workers",FALSE,5695,2220362,20171015,0.00256489707534177
"84",84,1976,"indiana","IN",18,32,22,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,1947,2220362,20171015,0.000876884039629574
"85",85,1976,"iowa","IA",19,42,31,"US President","Ford, Gerald","republican",FALSE,632864,1279303,20171015,0.494694376547229
"86",86,1976,"iowa","IA",19,42,31,"US President","Carter, Jimmy","democrat",FALSE,619931,1279303,20171015,0.484584965406944
"87",87,1976,"iowa","IA",19,42,31,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,20057,1279303,20171015,0.0156780684482097
"88",88,1976,"iowa","IA",19,42,31,"US President","Anderson, Thomas J.","american party of iowa",FALSE,3041,1279303,20171015,0.00237707564197067
"89",89,1976,"iowa","IA",19,42,31,"US President","Macbride, Roger","libertarian",FALSE,1454,1279303,20171015,0.001136556390472
"90",90,1976,"iowa","IA",19,42,31,"US President","Hall, Gus","communist party use",FALSE,551,1279303,20171015,0.000430703281396198
"91",91,1976,"iowa","IA",19,42,31,"US President","Scattering","",FALSE,509,1279303,20171015,0.000397872904229881
"92",92,1976,"iowa","IA",19,42,31,"US President","Camejo, Peter","socialist workers",FALSE,262,1279303,20171015,0.000204799019466069
"93",93,1976,"iowa","IA",19,42,31,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,241,1279303,20171015,0.00018838383088291
"94",94,1976,"iowa","IA",19,42,31,"US President","Zeidler, Frank","socialist u.s.a.",FALSE,233,1279303,20171015,0.000182130425708374
"95",95,1976,"iowa","IA",19,42,31,"US President","Julius """"Jules"""", Levin","socialist labor",FALSE,160,1279303,20171015,0.000125068103490729
"96",96,1976,"kansas","KS",20,47,32,"US President","Ford, Gerald","republican",FALSE,502752,957845,20171015,0.524878242304339
"97",97,1976,"kansas","KS",20,47,32,"US President","Carter, Jimmy","democrat",FALSE,430421,957845,20171015,0.449363936753859
"98",98,1976,"kansas","KS",20,47,32,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,13185,957845,20171015,0.0137652751750022
"99",99,1976,"kansas","KS",20,47,32,"US President","Anderson, Thomas J.","american",FALSE,4724,957845,20171015,0.00493190443130152
"100",100,1976,"kansas","KS",20,47,32,"US President","Macbride, Roger","independent",FALSE,3242,957845,20171015,0.00338468123756975
"101",101,1976,"kansas","KS",20,47,32,"US President","Maddox, Lester","conservative",FALSE,2118,957845,20171015,0.00221121371411867
"102",102,1976,"kansas","KS",20,47,32,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,1403,957845,20171015,0.00146474638380949
"103",103,1976,"kentucky","KY",21,61,51,"US President","Carter, Jimmy","democrat",FALSE,615717,1167142,20171015,0.527542492687265
"104",104,1976,"kentucky","KY",21,61,51,"US President","Ford, Gerald","republican",FALSE,531852,1167142,20171015,0.455687482757025
"105",105,1976,"kentucky","KY",21,61,51,"US President","Anderson, Thomas J.","american",FALSE,8308,1167142,20171015,0.00711824268169597
"106",106,1976,"kentucky","KY",21,61,51,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,6837,1167142,20171015,0.00585789903884874
"107",107,1976,"kentucky","KY",21,61,51,"US President","Maddox, Lester","american independent party",FALSE,2328,1167142,20171015,0.00199461590791866
"108",108,1976,"kentucky","KY",21,61,51,"US President","Macbride, Roger","libertarian",FALSE,814,1167142,20171015,0.000697430132751627
"109",109,1976,"kentucky","KY",21,61,51,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,510,1167142,20171015,0.000436964825188366
"110",110,1976,"kentucky","KY",21,61,51,"US President","Hall, Gus","communist party use",FALSE,426,1167142,20171015,0.000364994148098518
"111",111,1976,"kentucky","KY",21,61,51,"US President","Camejo, Peter","socialist workers",FALSE,350,1167142,20171015,0.000299877821207702
"112",112,1976,"louisiana","LA",22,72,45,"US President","Carter, Jimmy","democrat",FALSE,661365,1277383,20171015,0.51774996222746
"113",113,1976,"louisiana","LA",22,72,45,"US President","Ford, Gerald","republican",FALSE,587446,1277383,20171015,0.459882431502533
"114",114,1976,"louisiana","LA",22,72,45,"US President","Maddox, Lester","american independent party",FALSE,10058,1277383,20171015,0.00787391095701133
"115",115,1976,"louisiana","LA",22,72,45,"US President","Hall, Gus","communist party use",FALSE,7417,1277383,20171015,0.00580640262160996
"116",116,1976,"louisiana","LA",22,72,45,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,6490,1277383,20171015,0.00508070015022902
"117",117,1976,"louisiana","LA",22,72,45,"US President","Macbride, Roger","libertarian",FALSE,3134,1277383,20171015,0.00245345366268378
"118",118,1976,"louisiana","LA",22,72,45,"US President","Camejo, Peter","socialist workers",FALSE,1473,1277383,20171015,0.00115313887847263
"119",119,1976,"maine","ME",23,11,2,"US President","Ford, Gerald","republican",FALSE,236320,482968,20171015,0.489307780225605
"120",120,1976,"maine","ME",23,11,2,"US President","Carter, Jimmy","democrat",FALSE,232279,482968,20171015,0.480940766261947
"121",121,1976,"maine","ME",23,11,2,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,10874,482968,20171015,0.0225149492305908
"122",122,1976,"maine","ME",23,11,2,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,3495,482968,20171015,0.00723650428185718
"123",123,1976,"maryland","MD",24,52,52,"US President","Carter, Jimmy","democrat",FALSE,759612,1432273,20171015,0.530354199234364
"124",124,1976,"maryland","MD",24,52,52,"US President","Ford, Gerald","republican",FALSE,672661,1432273,20171015,0.469645800765636
"125",125,1976,"massachusetts","MA",25,14,3,"US President","Carter, Jimmy","democrat",FALSE,1429475,2547558,20171015,0.561115782251081
"126",126,1976,"massachusetts","MA",25,14,3,"US President","Ford, Gerald","republican",FALSE,1030276,2547558,20171015,0.404417092760989
"127",127,1976,"massachusetts","MA",25,14,3,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,65637,2547558,20171015,0.0257646734637641
"128",128,1976,"massachusetts","MA",25,14,3,"US President","Camejo, Peter","socialist workers",FALSE,8138,2547558,20171015,0.0031944316871294
"129",129,1976,"massachusetts","MA",25,14,3,"US President","Anderson, Thomas J.","american",FALSE,7555,2547558,20171015,0.00296558508187056
"130",130,1976,"massachusetts","MA",25,14,3,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,4922,2547558,20171015,0.0019320462968851
"131",131,1976,"massachusetts","MA",25,14,3,"US President","Scattering","",FALSE,1401,2547558,20171015,0.000549938411608293
"132",132,1976,"massachusetts","MA",25,14,3,"US President","Macbride, Roger","libertarian",FALSE,135,2547558,20171015,5.29919240307777e-05
"133",133,1976,"massachusetts","MA",25,14,3,"US President","Julius """"Jules"""", Levin","socialist labor",FALSE,19,2547558,20171015,7.45812264136871e-06
"134",134,1976,"michigan","MI",26,34,23,"US President","Ford, Gerald","republican",FALSE,1893742,3651590,20171015,0.518607510700818
"135",135,1976,"michigan","MI",26,34,23,"US President","Carter, Jimmy","democrat",FALSE,1696714,3651590,20171015,0.464650741183977
"136",136,1976,"michigan","MI",26,34,23,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,47905,3651590,20171015,0.0131189427071495
"137",137,1976,"michigan","MI",26,34,23,"US President","Macbride, Roger","libertarian",FALSE,5407,3651590,20171015,0.00148072483493492
"138",138,1976,"michigan","MI",26,34,23,"US President","Wright, Margaret","human rights",FALSE,3504,3651590,20171015,0.00095958199031107
"139",139,1976,"michigan","MI",26,34,23,"US President","Camejo, Peter","socialist workers",FALSE,1804,3651590,20171015,0.000494031367157868
"140",140,1976,"michigan","MI",26,34,23,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,1366,3651590,20171015,0.000374083618368984
"141",141,1976,"michigan","MI",26,34,23,"US President","Julius """"Jules"""", Levin","socialist labor",FALSE,1148,3651590,20171015,0.00031438359728228
"142",142,1976,"minnesota","MN",27,41,33,"US President","Carter, Jimmy","democrat",FALSE,1070440,1949931,20171015,0.548963014588721
"143",143,1976,"minnesota","MN",27,41,33,"US President","Ford, Gerald","republican",FALSE,819395,1949931,20171015,0.420217433334821
"144",144,1976,"minnesota","MN",27,41,33,"US President","McCarthy, Eugene """"Gene""""","mccarthy '76",FALSE,35490,1949931,20171015,0.0182006440227885
"145",145,1976,"minnesota","MN",27,41,33,"US President","Anderson, Thomas J.","american",FALSE,13592,1949931,20171015,0.00697050305882618
"146",146,1976,"minnesota","MN",27,41,33,"US President","Camejo, Peter","socialist workers",FALSE,4149,1949931,20171015,0.00212776759793039
"147",147,1976,"minnesota","MN",27,41,33,"US President","Macbride, Roger","libertarian",FALSE,3529,1949931,20171015,0.00180980762909047
"148",148,1976,"minnesota","MN",27,41,33,"US President","Hall, Gus","communist party use",FALSE,1092,1949931,20171015,0.0005600198160858
"149",149,1976,"minnesota","MN",27,41,33,"US President","Wright, Margaret","people's",FALSE,635,1949931,20171015,0.000325652548731212
"150",150,1976,"minnesota","MN",27,41,33,"US President","Larouche, Lyndon, Jr.","international development bank",FALSE,543,1949931,20171015,0.000278471392064642
"151",151,1976,"minnesota","MN",27,41,33,"US President","Julius """"Jules"""", Levin","industrial government party",FALSE,370,1949931,20171015,0.000189750303985115
"152",152,1976,"minnesota","MN",27,41,33,"US President","Zeidler, Frank","socialist",FALSE,354,1949931,20171015,0.000181544885434408
"153",153,1976,"minnesota","MN",27,41,33,"US President","","",TRUE,342,1949931,20171015,0.000175390821521377
"154",154,1976,"mississippi","MS",28,64,46,"US President","Carter, Jimmy","democrat",FALSE,381329,768390,20171015,0.496270123244706
"155",155,1976,"mississippi","MS",28,64,46,"US President","Ford, Gerald","republican",FALSE,366846,768390,20171015,0.477421621832663
"156",156,1976,"mississippi","MS",28,64,46,"US President","Anderson, Thomas J.","american",FALSE,6678,768390,20171015,0.00869089915277398
"157",157,1976,"mississippi","MS",28,64,46,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,4074,768390,20171015,0.00530199508062312
"158",158,1976,"mississippi","MS",28,64,46,"US President","Maddox, Lester","american independent party",FALSE,4049,768390,20171015,0.00526945951925455
"159",159,1976,"mississippi","MS",28,64,46,"US President","Camejo, Peter","socialist workers",FALSE,2805,768390,20171015,0.00365048998555421
"160",160,1976,"mississippi","MS",28,64,46,"US President","Macbride, Roger","libertarian",FALSE,2609,768390,20171015,0.00339541118442458
"161",161,1976,"missouri","MO",29,43,34,"US President","Carter, Jimmy","democrat",FALSE,998387,1953600,20171015,0.511049856674857
"162",162,1976,"missouri","MO",29,43,34,"US President","Ford, Gerald","republican",FALSE,927443,1953600,20171015,0.47473536036036
"163",163,1976,"missouri","MO",29,43,34,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,24029,1953600,20171015,0.0122998566748567
"164",164,1976,"missouri","MO",29,43,34,"US President","Other","",FALSE,3741,1953600,20171015,0.00191492628992629
"165",165,1976,"montana","MT",30,81,64,"US President","Ford, Gerald","republican",FALSE,173703,328734,20171015,0.528399861286025
"166",166,1976,"montana","MT",30,81,64,"US President","Carter, Jimmy","democrat",FALSE,149259,328734,20171015,0.454041869718374
"167",167,1976,"montana","MT",30,81,64,"US President","Anderson, Thomas J.","american",FALSE,5772,328734,20171015,0.0175582689956013
"168",168,1976,"nebraska","NE",31,46,35,"US President","Ford, Gerald","republican",FALSE,359219,606749,20171015,0.592038882635159
"169",169,1976,"nebraska","NE",31,46,35,"US President","Carter, Jimmy","democrat",FALSE,233293,606749,20171015,0.384496719401268
"170",170,1976,"nebraska","NE",31,46,35,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,9383,606749,20171015,0.0154643847785493
"171",171,1976,"nebraska","NE",31,46,35,"US President","Maddox, Lester","american independent party",FALSE,3378,606749,20171015,0.0055673762956346
"172",172,1976,"nebraska","NE",31,46,35,"US President","Macbride, Roger","libertarian",FALSE,1476,606749,20171015,0.00243263688938919
"173",173,1976,"nevada","NV",32,88,65,"US President","Ford, Gerald","republican",FALSE,101273,201876,20171015,0.501659434504349
"174",174,1976,"nevada","NV",32,88,65,"US President","Carter, Jimmy","democrat",FALSE,92479,201876,20171015,0.458098040381224
"175",175,1976,"nevada","NV",32,88,65,"US President","Other","",FALSE,5108,201876,20171015,0.02530266103945
"176",176,1976,"nevada","NV",32,88,65,"US President","Macbride, Roger","libertarian",FALSE,1519,201876,20171015,0.00752442093166102
"177",177,1976,"nevada","NV",32,88,65,"US President","Maddox, Lester","american independent party",FALSE,1497,201876,20171015,0.0074154431433157
"178",178,1976,"new hampshire","NH",33,12,4,"US President","Ford, Gerald","republican",FALSE,185935,339627,20171015,0.547468251935211
"179",179,1976,"new hampshire","NH",33,12,4,"US President","Carter, Jimmy","democrat",FALSE,147645,339627,20171015,0.434726921004514
"180",180,1976,"new hampshire","NH",33,12,4,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,4095,339627,20171015,0.0120573452640691
"181",181,1976,"new hampshire","NH",33,12,4,"US President","Macbride, Roger","libertarian",FALSE,936,339627,20171015,0.00275596463178723
"182",182,1976,"new hampshire","NH",33,12,4,"US President","Scattering","",FALSE,603,339627,20171015,0.00177547721470908
"183",183,1976,"new hampshire","NH",33,12,4,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,186,339627,20171015,0.000547659638367974
"184",184,1976,"new hampshire","NH",33,12,4,"US President","Camejo, Peter","socialist workers",FALSE,161,339627,20171015,0.000474049471920666
"185",185,1976,"new hampshire","NH",33,12,4,"US President","Julius """"Jules"""", Levin","socialist labor",FALSE,66,339627,20171015,0.000194330839420894
"186",186,1976,"new jersey","NJ",34,22,12,"US President","Ford, Gerald","republican",FALSE,1509688,3014472,20171015,0.500813409446165
"187",187,1976,"new jersey","NJ",34,22,12,"US President","Carter, Jimmy","democrat",FALSE,1444653,3014472,20171015,0.479239150338766
"188",188,1976,"new jersey","NJ",34,22,12,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,32717,3014472,20171015,0.0108533102977901
"189",189,1976,"new jersey","NJ",34,22,12,"US President","Macbride, Roger","libertarian",FALSE,9449,3014472,20171015,0.00313454561860253
"190",190,1976,"new jersey","NJ",34,22,12,"US President","Maddox, Lester","american independent party",FALSE,7716,3014472,20171015,0.00255965223760579
"191",191,1976,"new jersey","NJ",34,22,12,"US President","Julius """"Jules"""", Levin","socialist labor",FALSE,3686,3014472,20171015,0.00122276803367223
"192",192,1976,"new jersey","NJ",34,22,12,"US President","Hall, Gus","communist party use",FALSE,1662,3014472,20171015,0.000551340334227686
"193",193,1976,"new jersey","NJ",34,22,12,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,1650,3014472,20171015,0.000547359537590663
"194",194,1976,"new jersey","NJ",34,22,12,"US President","Camejo, Peter","socialist workers",FALSE,1184,3014472,20171015,0.000392771934852936
"195",195,1976,"new jersey","NJ",34,22,12,"US President","Wright, Margaret","peace & freedom",FALSE,1044,3014472,20171015,0.000346329307421001
"196",196,1976,"new jersey","NJ",34,22,12,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,554,3014472,20171015,0.000183780111409229
"197",197,1976,"new jersey","NJ",34,22,12,"US President","Zeidler, Frank","socialist",FALSE,469,3014472,20171015,0.000155582801896982
"198",198,1976,"new mexico","NM",35,85,66,"US President","Ford, Gerald","republican",FALSE,211419,416590,20171015,0.507498979812285
"199",199,1976,"new mexico","NM",35,85,66,"US President","Carter, Jimmy","democrat",FALSE,201148,416590,20171015,0.482844043303968
"200",200,1976,"new mexico","NM",35,85,66,"US President","Camejo, Peter","socialist workers",FALSE,2462,416590,20171015,0.00590988741928515
"201",201,1976,"new mexico","NM",35,85,66,"US President","Macbride, Roger","libertarian",FALSE,1110,416590,20171015,0.00266449026620898
"202",202,1976,"new mexico","NM",35,85,66,"US President","Zeidler, Frank","socialist",FALSE,240,416590,20171015,0.000576106003504645
"203",203,1976,"new mexico","NM",35,85,66,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,211,416590,20171015,0.000506493194747834
"204",204,1976,"new york","NY",36,21,13,"US President","Carter, Jimmy","democrat",FALSE,3244165,6668262,20171015,0.486508328556976
"205",205,1976,"new york","NY",36,21,13,"US President","Ford, Gerald","republican",FALSE,2825913,6668262,20171015,0.423785538120728
"206",206,1976,"new york","NY",36,21,13,"US President","Ford, Gerald","conservative",FALSE,274878,6668262,20171015,0.0412218356147374
"207",207,1976,"new york","NY",36,21,13,"US President","Carter, Jimmy","liberal party",FALSE,145393,6668262,20171015,0.0218037323668446
"208",208,1976,"new york","NY",36,21,13,"US President","Other","",FALSE,143037,6668262,20171015,0.0214504169152322
"209",209,1976,"new york","NY",36,21,13,"US President","Macbride, Roger","free libertarian",FALSE,12197,6668262,20171015,0.00182911229342818
"210",210,1976,"new york","NY",36,21,13,"US President","Hall, Gus","communist party use",FALSE,10270,6668262,20171015,0.00154013144654484
"211",211,1976,"new york","NY",36,21,13,"US President","Camejo, Peter","socialist workers",FALSE,6996,6668262,20171015,0.00104914893865898
"212",212,1976,"new york","NY",36,21,13,"US President","Larouche, Lyndon, Jr.","labor",FALSE,5413,6668262,20171015,0.000811755746849779
"213",213,1976,"north carolina","NC",37,56,47,"US President","Carter, Jimmy","democrat",FALSE,927365,1677906,20171015,0.552691867124857
